inspect_model_name	epoch_model_name	biggest_in_class	cost_per_M_tokens	input_cost_per_M_tokens	output_cost_per_M_tokens	cost_source	api_source	last_updated
google/gemini-2.0-pro-exp-02-05								
google/gemini-2.0-flash-thinking-exp-01-21								
google/gemini-2.0-flash-exp	Gemini 2.0 Flash	1						
google/gemini-1.5-flash	 	0		$0.08	$0.30	https://ai.google.dev/pricing	https://ai.google.dev/gemini-api/docs/models/gemini	2024-09-03
google/gemini-1.5-pro	Gemini 1.5 Pro	1		$3.50	$10.50	https://ai.google.dev/pricing	https://ai.google.dev/gemini-api/docs/models/gemini	2024-09-03
google/gemini-1.0-pro	Gemini 1.0 Pro	1		$0.50	$1.50	https://ai.google.dev/pricing	https://ai.google.dev/gemini-api/docs/models/gemini	2024-09-03
openai/o3-mini-2025-01-31	o3-mini	1		$1.10	$4.40	https://platform.openai.com/docs/pricing		2025-02-01
openai/o1-2024-12-17	o1	1		$15.00	$60.00	https://platform.openai.com/docs/pricing		2025-02-01
openai/gpt-4o-2024-08-06	GPT-4o	1		$2.50	$10.00	https://openai.com/api/pricing/	https://platform.openai.com/docs/models, https://openai.com/api/pricing/	2024-09-03
openai/gpt-4o	GPT-4o	1		$2.50	$10.00	https://openai.com/api/pricing/	https://platform.openai.com/docs/models, https://openai.com/api/pricing/	2024-09-03
openai/gpt-4o-mini	GPT-4o mini	0		$0.15	$0.60	https://openai.com/api/pricing/	https://platform.openai.com/docs/models, https://openai.com/api/pricing/	2025-02-01
openai/gpt-4-turbo-2024-04-09	GPT-4 Turbo	1		$10.00	$30.00	https://openai.com/api/pricing/	https://platform.openai.com/docs/models, https://openai.com/api/pricing/	2024-09-03
openai/gpt-4-turbo	GPT-4 Turbo	1		$10.00	$30.00	https://openai.com/api/pricing/	https://platform.openai.com/docs/models, https://openai.com/api/pricing/	2024-09-03
openai/gpt-4-0613	GPT-4	1		$30.00	$60.00	https://openai.com/api/pricing/	https://platform.openai.com/docs/models, https://openai.com/api/pricing/	2024-09-03
openai/gpt-4	GPT-4	1		$30.00	$60.00	https://openai.com/api/pricing/	https://platform.openai.com/docs/models, https://openai.com/api/pricing/	2024-09-03
openai/gpt-3.5-turbo-0125	GPT-3.5 Turbo	1		$0.50	$1.50	https://openai.com/api/pricing/	https://platform.openai.com/docs/models, https://openai.com/api/pricing/	2024-09-03
openai/gpt-3.5-turbo	GPT-3.5 Turbo	1		$0.50	$1.50	https://openai.com/api/pricing/	https://platform.openai.com/docs/models, https://openai.com/api/pricing/	2024-09-03
anthropic/claude-3-5-sonnet-20241022	Claude 3.5 Sonnet	1		$3.00	$15.00	https://www.anthropic.com/pricing#anthropic-api	https://github.com/anthropics/anthropic-sdk-python/blob/main/src/anthropic/types/model.py	2024-12-04
anthropic/claude-3-5-sonnet-20240620	Claude 3.5 Sonnet	0		$3.00	$15.00	https://www.anthropic.com/pricing#anthropic-api	https://github.com/anthropics/anthropic-sdk-python/blob/main/src/anthropic/types/model.py	2024-12-04
anthropic/claude-3-opus-20240229	Claude 3 Opus	1		$15.00	$75.00	https://www.anthropic.com/pricing#anthropic-api	https://github.com/anthropics/anthropic-sdk-python/blob/main/src/anthropic/types/model.py	2024-12-04
anthropic/claude-3-sonnet-20240229	Claude 3 Sonnet	0		$3.00	$15.00	https://www.anthropic.com/pricing#anthropic-api	https://github.com/anthropics/anthropic-sdk-python/blob/main/src/anthropic/types/model.py	2024-12-04
anthropic/claude-3-haiku-20240307	Claude 3 Haiku	0		$0.25	$1.25	https://www.anthropic.com/pricing#anthropic-api	https://github.com/anthropics/anthropic-sdk-python/blob/main/src/anthropic/types/model.py	2024-12-04
anthropic/claude-2.1	Claude 2.1	0		$8.00	$24.00	https://www.anthropic.com/pricing#anthropic-api	https://github.com/anthropics/anthropic-sdk-python/blob/main/src/anthropic/types/model.py	2024-12-04
anthropic/claude-2.0	Claude 2	1		$8.00	$24.00	https://www.anthropic.com/pricing#anthropic-api	https://github.com/anthropics/anthropic-sdk-python/blob/main/src/anthropic/types/model.py	2024-12-04
anthropic/claude-instant-1.2	Claude Instant	0		$0.80	$2.40	https://www.anthropic.com/pricing#anthropic-api	https://github.com/anthropics/anthropic-sdk-python/blob/main/src/anthropic/types/model.py	2024-12-04
together/mistralai/Mistral-Small-24B-Instruct-2501	Mistral Small 3	1	$0.80			https://www.together.ai/models/mistral-small-3	https://www.together.ai/models/mistral-small-3	2025-02-23
mistral/mistral-large-2407	Mistral Large 2	1		$3.00	$9.00	https://mistral.ai/technology/#pricing	https://mistral.ai/technology/#pricing	2024-09-03
mistral/open-mistral-7b	Mistral 7B	0		$0.25	$0.25	https://mistral.ai/technology/#pricing	https://mistral.ai/technology/#pricing	2024-09-03
mistral/open-mixtral-8x7b	Mixtral 8x7B	1		$0.70	$0.70	https://mistral.ai/technology/#pricing	https://mistral.ai/technology/#pricing	2024-09-03
mixtral/open-mixtral-8x22b		1		$2.00	$6.00	https://mistral.ai/technology/#pricing	https://mistral.ai/technology/#pricing	2024-09-03
together/meta-llama/Llama-3.3-70B-Instruct-Turbo	Llama 3.3	1	$0.88					2025-02-16
together/meta-llama/Llama-3.3-70B-Instruct-Turbo-Free	Llama 3.3	1	$0.88			https://api.together.xyz/models/meta-llama/Llama-3.3-70B-Instruct-Turbo	https://api.together.xyz/models/meta-llama/Llama-3.3-70B-Instruct-Turbo	2025-02-15
together/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo	Llama 3.1-405B	1	$5.00			https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo	https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo	2024-09-03
together/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo	Llama 3.1-70B	0	$0.88			https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo	https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo	2024-09-03
together/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo	Llama 3.1-8B	0	$0.18			https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo	https://api.together.xyz/models/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo	2024-09-03
together/meta-llama/Meta-Llama-3-70B-Instruct-Turbo	Llama 3-70B	1	$0.88			https://api.together.xyz/models/meta-llama/Meta-Llama-3-70B-Instruct-Turbo	https://api.together.xyz/models/meta-llama/Meta-Llama-3-70B-Instruct-Turbo	2024-09-03
together/meta-llama/Meta-Llama-3-8B-Instruct-Turbo	Llama 3-8B	0	$0.18			https://api.together.xyz/models/meta-llama/Meta-Llama-3-8B-Instruct-Turbo	https://api.together.xyz/models/meta-llama/Meta-Llama-3-8B-Instruct-Turbo	2024-09-03
together/meta-llama/Llama-2-13b-chat-hf	Llama 2-13B	1	$0.22			https://api.together.xyz/models/meta-llama/Llama-2-13b-chat-hf	https://api.together.xyz/models/meta-llama/Llama-2-13b-chat-hf	2024-09-03
together/meta-llama/Llama-2-70b-hf	Llama 2-70B	0	$0.90			https://api.together.xyz/models/meta-llama/Llama-2-70b-hf	https://api.together.xyz/models/meta-llama/Llama-2-70b-hf	2024-09-03
together/deepseek-ai/DeepSeek-V3	DeepSeek-V3	1	$1.25			https://www.together.ai/pricing		2025-02-01
together/deepseek-ai/DeepSeek-R1	DeepSeek-R1	1	$7.00			https://www.together.ai/pricing		2025-02-01
grok/grok-2-1212	Grok-2	1		$2.00	$10.00	https://docs.x.ai/docs/models?cluster=us-east-1	https://docs.x.ai/docs/models?cluster=us-east-1	2025-02-23