model,benchmark,five_shot_ratio,five_shot_ci_low,five_shot_ci_high,cot_ratio,cot_ci_low,cot_ci_high,zero_shot_accuracy,five_shot_accuracy,cot_accuracy
Claude 3.5 Sonnet,vct,1.0410022779043278,0.9936766426305856,1.0905818815798367,1.082004555808656,1.0228030063289446,1.1446327900351967,0.4346534653465346,0.4524752475247523,0.4702970297029702
Claude 3.5 Sonnet,lab-bench-protocolqa,1.103988603988604,1.0566073244496357,1.1534945949494992,1.0242165242165242,0.9819867674274527,1.068262346575538,0.65,0.7175925925925927,0.6657407407407407
Claude 3.5 Sonnet,lab-bench-cloningscenarios,1.0061349693251533,0.8864630762137573,1.141962484013067,0.9754601226993863,0.8691522151809018,1.0947707827893596,0.4939393939393939,0.4969696969696969,0.4818181818181817
Claude 3.5 Sonnet,lab-bench-litqa2,0.9605095541401273,0.9091770396190522,1.014740323821892,1.0471337579617832,0.993541861822447,1.1036164143621325,0.3944723618090452,0.378894472361809,0.4130653266331657
Claude 3.5 Sonnet,wmdp,0.9400960723368182,0.9327738954477047,0.947475727543729,1.0227936328529719,1.016414148437515,1.0292131578576607,0.8340141398271799,0.7840534171249017,0.8530243519245877
Claude 3.5 Sonnet,gpqa,1.0234833659491194,0.9925456542776048,1.055385408076714,1.054794520547945,1.0137805646253455,1.0974677552524796,0.6551282051282052,0.6705128205128206,0.691025641025641
Claude 3.5 Sonnet,mmlu,1.0005311614730878,0.9963051996885472,1.0047750482398627,1.024610481586402,1.0222229645753944,1.0270035749126318,0.868923076923077,0.8693846153846154,0.8903076923076924
Claude 3.5 Sonnet,pubmedqa,1.0038550501156516,0.994579803306602,1.0132167959699088,0.9041377537907993,0.8962208864681988,0.9121245556453328,0.7782,0.7812,0.7036
Gemini 1.5 Pro,vct,0.8144329896907215,0.7582028911725349,0.8748332437387497,1.0103092783505156,0.9536711167572965,1.0703111586223157,0.288118811881188,0.2346534653465345,0.291089108910891
Gemini 1.5 Pro,lab-bench-protocolqa,1.2542372881355932,1.2029645067566097,1.3076954192032595,0.8813559322033899,0.836426402339003,0.9286988993387547,0.4916666666666666,0.6166666666666666,0.4333333333333333
Gemini 1.5 Pro,lab-bench-cloningscenarios,1.2413793103448278,1.0427809399575354,1.4778008813768255,1.2500000000000002,1.0644869771302476,1.4678432273660569,0.3515151515151514,0.4363636363636363,0.4393939393939393
Gemini 1.5 Pro,lab-bench-litqa2,1.0301047120418851,0.9707915302658997,1.0930417959870906,1.075916230366492,1.007897370254793,1.1485254044004558,0.3839195979899497,0.3954773869346734,0.4130653266331657
Gemini 1.5 Pro,wmdp,0.8048036224037798,0.7990874232466416,0.8105607118713565,,,,0.7980361351139043,0.6422623723487824,
Gemini 1.5 Pro,gpqa,0.846153846153846,0.7865165831806155,0.91031307752672,0.9796380090497738,0.9318497212057941,1.0298770358949993,0.5666666666666667,0.4794871794871794,0.5551282051282052
Gemini 1.5 Pro,mmlu,0.9456017465659964,0.9389872506056786,0.9522628369361753,,,,0.8456153846153847,0.7996153846153845,
Gemini 1.5 Pro,pubmedqa,1.1264952153110048,1.1162512393943242,1.1368332014638027,1.006877990430622,0.9938931732754988,1.0200324490332222,0.6688,0.7534,0.6734
Llama 3.1-405B,vct,1.661458333333333,1.5699919072611732,1.7582535175090992,1.4010416666666665,1.3117047760381229,1.4964630666855643,0.1900990099009901,0.3158415841584158,0.2663366336633663
Llama 3.1-405B,lab-bench-protocolqa,1.0483870967741933,1.014988883512272,1.0828842783767616,0.9048387096774193,0.8654062362056023,0.9460679346620555,0.5740740740740742,0.6018518518518519,0.5194444444444445
Llama 3.1-405B,lab-bench-cloningscenarios,0.9489051094890512,0.8101810796013055,1.1113822940144815,0.8175182481751826,0.7094696487079262,0.9420220968107396,0.4151515151515151,0.3939393939393939,0.3393939393939394
Llama 3.1-405B,lab-bench-litqa2,1.0,0.9362411993673674,1.0681008277308406,1.039525691699605,0.9880699366519243,1.0936611100274969,0.3814070351758793,0.3814070351758793,0.3964824120603015
Llama 3.1-405B,wmdp,1.0057354301572619,1.002330730651661,1.0091516946866308,,,,0.8491751767478396,0.8540455616653574,
Llama 3.1-405B,gpqa,0.9710982658959537,0.9274167446682576,1.0168371958427993,0.8978805394990365,0.8542442353237907,0.9437458631552892,0.6653846153846155,0.6461538461538462,0.5974358974358974
Llama 3.1-405B,mmlu,0.9797794117647061,0.9772636856299446,0.9823016140205781,,,,0.8787692307692307,0.8610000000000001,
Llama 3.1-405B,pubmedqa,0.999505806770447,0.9961023638351074,1.0029208784542312,0.9829503335804298,0.9788233171474476,0.9870947507683182,0.8094000000000001,0.8089999999999999,0.7956
GPT-4o,vct,1.3303167420814483,1.2001667298671388,1.4745806480222237,1.149321266968326,1.0341417855577748,1.277329079197023,0.2188118811881187,0.291089108910891,0.2514851485148514
GPT-4o,lab-bench-protocolqa,1.0606060606060606,1.0185191480051634,1.104432074740537,0.9250398724082934,0.8953231910338294,0.9557428804642899,0.5805555555555555,0.6157407407407407,0.537037037037037
GPT-4o,lab-bench-cloningscenarios,1.0901639344262295,0.918973594746461,1.2932443442529644,1.0655737704918034,0.9008371725903384,1.260435842245678,0.3696969696969697,0.403030303030303,0.3939393939393939
GPT-4o,lab-bench-litqa2,1.008557457212714,0.9554625926227635,1.0646027927761925,1.0171149144254281,0.9716102581085932,1.064750748062832,0.4110552763819095,0.414572864321608,0.4180904522613066
GPT-4o,wmdp,0.9962921764923992,0.9919124742633322,1.0006912169111886,,,,0.8474469756480753,0.8443047918303221,
GPT-4o,gpqa,0.9925925925925926,0.9555269227559487,1.0310960700385465,0.9481481481481483,0.9122793103066035,0.9854272706619068,0.6923076923076923,0.6871794871794872,0.6564102564102565
GPT-4o,mmlu,0.9985190347591253,0.9952938380185836,1.0017546825781503,,,,0.883,0.8816923076923077,
GPT-4o,pubmedqa,0.9868204283360792,0.9744599475273646,0.999337694948264,1.0414607358594181,1.0301904373884865,1.0528543315606618,0.7283999999999999,0.7188,0.7586
